,Player,NewPos,MP,Gls,Ast,G+A,xG,xAG,Age,CrdY,CrdR,PrgC,PrgP,PrgR,FantasyPoints,PlayerCost
193,Anthony Martial,FW,13,1,0,1,1.2,0.2,27,0,0,6,12,36,34.74444444444445,13.299999999999999
194,Sergio Reguilón,DF,9,0,0,0,0.2,0.7,26,3,0,11,27,38,36.2,8.549999999999999
195,Amad Diallo,FW,9,1,1,2,0.5,1.1,21,1,0,11,10,31,35.2,13.05
196,Willy Kambwala,DF,8,0,0,0,0.0,0.0,18,1,0,2,8,1,4.588888888888889,8.0
197,Facundo Pellistri,FW,9,0,1,1,0.7,0.1,21,0,0,6,6,31,26.1,12.75
198,Hannibal Mejbri,MF,5,1,0,1,0.0,0.4,20,1,0,2,6,10,13.455555555555556,10.2
199,Omari Forson,FW,4,0,1,1,0.0,0.2,19,0,0,1,2,2,5.7444444444444445,12.1
200,Jadon Sancho,FW,3,0,0,0,0.0,0.1,23,0,0,10,4,5,9.633333333333333,12.05
201,Ethan Wheatley,FW,3,0,0,0,0.0,0.0,17,0,0,0,0,1,0.5333333333333333,12.0
202,Donny van de Beek,DF,1,0,0,0,0.0,0.1,26,0,0,0,0,1,0.6111111111111112,8.05
203,Daniel Gore,MF,1,0,0,0,0.0,0.0,18,0,0,0,0,0,0.011111111111111112,10.0
204,Ollie Watkins,FW,37,19,13,32,16.8,7.3,27,4,0,62,55,214,336.81111111111113,32.45
205,Ezri Konsa,DF,35,1,0,1,2.5,0.5,25,5,0,37,136,33,108.88888888888889,10.75
206,John McGinn,MF,35,6,4,10,5.0,4.6,28,9,1,59,189,84,210.98888888888888,17.3
207,Douglas Luiz,MF,35,9,5,14,6.9,5.4,25,12,0,60,168,50,206.5888888888889,19.599999999999998
208,Emiliano Martínez,GK,34,0,0,0,0.0,0.0,30,4,0,0,2,0,-2.6222222222222222,6.0
209,Pau Torres,DF,29,2,0,2,1.0,0.4,26,1,0,42,128,16,104.72222222222223,9.2
210,Lucas Digne,DF,33,1,3,4,1.1,4.1,30,7,0,42,77,200,173.16666666666666,11.149999999999999
211,Moussa Diaby,FW,38,6,8,14,7.0,6.6,24,1,0,94,72,183,248.5222222222222,22.3
212,Matty Cash,DF,29,2,2,4,4.2,2.3,25,8,0,62,88,101,144.52222222222224,13.35
213,Leon Bailey,MF,35,10,9,19,6.3,9.2,25,5,0,102,82,226,299.18888888888887,20.9
214,Diego Carlos,DF,27,0,0,0,1.9,0.1,30,4,0,4,59,1,32.2,9.950000000000001
215,Boubacar Kamara,MF,20,0,1,1,0.1,1.3,23,7,1,19,83,10,50.72222222222222,10.75
216,Youri Tielemans,MF,32,2,6,8,1.3,2.6,26,3,0,23,128,46,129.05555555555554,12.600000000000001
217,Clément Lenglet,DF,14,0,1,1,0.9,0.8,28,3,0,26,51,1,41.75555555555556,9.3
218,Álex Moreno,DF,21,2,0,2,1.1,1.1,30,2,0,32,24,83,81.03333333333333,9.65
219,Nicolò Zaniolo,FW,25,2,0,2,2.6,1.0,24,7,0,35,30,60,71.97777777777777,15.1
220,Jacob Ramsey,FW,16,1,1,2,2.2,1.0,22,2,0,33,28,69,76.57777777777778,14.7
221,Morgan Rogers,MF,11,3,1,4,1.4,0.6,21,3,0,22,28,30,58.522222222222226,11.700000000000001
222,Robin Olsen,GK,5,0,0,0,0.0,0.0,33,0,0,0,0,0,-0.2444444444444445,6.0
223,Jhon Durán,FW,23,5,0,5,2.0,0.3,19,5,0,9,9,25,46.05555555555556,14.15
224,Tim Iroegbunam,MF,9,0,0,0,0.0,0.0,20,0,0,3,1,0,2.1,10.0
225,Calum Chambers,MF,5,0,1,1,0.0,0.1,28,1,0,0,5,1,5.155555555555555,10.05
226,Leander Dendoncker,MF,8,1,0,1,0.7,0.0,28,0,0,0,3,2,8.988888888888889,10.7
227,Tyrone Mings,DF,1,0,0,0,0.0,0.0,30,0,0,0,0,0,0.011111111111111112,8.0
228,Omari Kellyman,FW,2,0,0,0,0.1,0.0,17,0,0,1,0,0,0.7222222222222222,12.1
229,Philippe Coutinho,MF,2,0,0,0,0.1,0.0,31,0,0,5,5,2,6.122222222222222,10.1
230,Bertrand Traoré,DF,2,0,0,0,0.0,0.0,27,0,0,0,0,0,0.022222222222222223,8.0
231,Cameron Archer,MF,1,0,0,0,0.0,0.0,22,1,0,1,0,0,-0.48888888888888893,10.0
232,Kaine Kesler-Hayden,MF,3,0,0,0,0.0,0.0,20,0,0,0,0,0,0.03333333333333333,10.0
233,Finley Munroe,MF,1,0,0,0,0.0,0.0,18,0,0,0,0,0,0.011111111111111112,10.0
234,Jaden Philogene Bidace,FW,1,0,0,0,0.0,0.0,21,0,0,2,0,1,1.511111111111111,12.0
235,Vladimír Coufal,DF,36,0,7,7,0.3,4.0,30,7,1,68,119,126,172.5,10.3
236,Emerson Palmieri,DF,36,1,2,3,1.5,2.4,28,10,0,59,125,124,160.8,10.7
237,Jarrod Bowen,FW,34,16,6,22,11.6,5.5,26,2,0,90,52,186,289.0777777777778,26.35
238,James Ward-Prowse,MF,37,7,7,14,6.0,7.8,28,4,0,18,144,63,184.7111111111111,19.9
239,Tomáš Souček,MF,37,7,2,9,6.7,1.7,28,7,0,7,86,39,115.51111111111112,17.55
240,Kurt Zouma,DF,33,3,0,3,1.8,0.2,28,3,0,7,53,1,46.66666666666667,9.9
241,Alphonse Areola,GK,31,0,0,0,0.0,0.0,30,1,0,0,1,0,-0.15555555555555556,6.0
242,Lucas Paquetá,FW,31,4,6,10,5.4,5.4,25,10,0,34,187,116,213.04444444444442,20.099999999999998
243,Edson Álvarez,MF,31,1,1,2,1.3,0.6,25,11,0,20,91,26,69.04444444444445,11.600000000000001
244,Mohammed Kudus,FW,33,8,6,14,5.1,3.5,22,6,0,117,80,216,272.56666666666666,18.85
245,Nayef Aguerd,DF,21,1,0,1,1.5,0.3,27,3,1,10,68,3,43.03333333333333,9.65
246,Michail Antonio,FW,26,6,2,8,5.8,0.9,33,6,0,48,22,104,129.48888888888888,18.25
247,Konstantinos Mavropanos,DF,19,1,0,1,1.2,0.2,25,2,0,10,38,2,30.81111111111111,9.299999999999999
248,Łukasz Fabiański,GK,10,0,0,0,0.0,0.0,38,0,0,0,1,0,-0.18888888888888888,6.0
249,Angelo Ogbonna,DF,11,0,0,0,0.0,0.0,35,1,0,2,4,0,1.6222222222222222,8.0
250,Saïd Benrahma,FW,13,0,1,1,1.8,1.4,27,1,0,28,28,70,70.14444444444445,14.5
251,Ben Johnson,DF,14,0,0,0,0.2,0.0,23,1,0,17,22,33,35.55555555555556,8.2
252,Aaron Cresswell,DF,11,0,0,0,0.0,0.4,33,1,0,4,26,6,17.22222222222222,8.2
253,Pablo Fornals,MF,15,0,0,0,0.3,0.3,27,0,0,4,29,27,31.066666666666666,10.450000000000001
254,Danny Ings,FW,20,1,0,1,1.3,0.3,31,1,0,7,8,29,29.022222222222222,13.450000000000001
255,Kalvin Phillips,MF,8,0,0,0,0.1,0.0,27,3,1,3,19,4,7.288888888888889,10.1
256,Maxwel Cornet,MF,7,1,0,1,0.4,0.2,26,0,0,3,2,8,12.577777777777778,10.5
257,Divin Mubama,FW,5,0,0,0,0.1,0.0,18,0,0,0,0,5,2.7555555555555555,12.1
258,George Earthy,FW,3,1,0,1,0.3,0.0,18,0,0,0,1,3,7.633333333333333,12.3
259,Thilo Kehrer,DF,4,0,0,0,0.0,0.0,26,2,0,0,1,1,-0.9555555555555555,8.0
260,Kaelan Casey,DF,1,0,0,0,0.0,0.0,18,0,0,0,0,0,0.011111111111111112,8.0
261,Joachim Andersen,DF,38,2,3,5,1.7,2.8,27,7,0,21,147,10,107.62222222222222,11.1
262,Tyrick Mitchell,DF,37,2,3,5,1.6,2.8,23,6,0,32,94,159,161.9111111111111,11.0
263,Jordan Ayew,FW,35,4,7,11,3.9,4.2,31,9,1,74,63,173,196.2888888888889,18.0
264,Jefferson Lerma,MF,28,1,1,2,2.7,2.2,28,8,0,14,106,51,93.41111111111111,13.799999999999999
265,Jean-Philippe Mateta,FW,35,16,5,21,10.9,3.1,26,3,0,29,25,135,211.7888888888889,24.45
266,Eberechi Eze,MF,27,11,4,15,9.1,5.2,25,3,0,68,93,139,237.7,21.700000000000003
267,Chris Richards,DF,26,1,1,2,0.6,0.4,23,3,0,1,43,1,29.38888888888889,8.799999999999999
268,Marc Guéhi,DF,25,0,1,1,0.6,0.6,23,2,0,15,67,7,47.577777777777776,8.9
269,Joel Ward,DF,26,0,1,1,0.9,0.2,33,4,0,16,66,14,48.98888888888889,9.0
270,Will Hughes,MF,30,0,1,1,0.3,1.1,28,6,0,14,76,17,52.53333333333333,10.850000000000001
271,Sam Johnstone,GK,20,0,0,0,0.0,0.0,30,1,0,0,0,0,-0.7777777777777778,6.0
272,Dean Henderson,GK,18,0,0,0,0.0,0.0,26,2,0,0,0,0,-1.8,6.0
273,Odsonne Édouard,FW,30,7,0,7,6.2,1.2,25,4,0,33,36,100,129.43333333333334,18.8
274,Jeffrey Schlupp,FW,29,2,2,4,1.8,2.3,30,1,0,20,33,52,73.72222222222223,14.950000000000001
275,Daniel Muñoz,DF,16,0,4,4,1.2,2.4,27,4,0,25,38,80,84.47777777777777,10.399999999999999
276,Adam Wharton,MF,16,0,3,3,0.3,2.4,19,2,0,14,79,10,61.67777777777778,11.5
277,Nathaniel Clyne,DF,19,0,0,0,0.2,0.2,32,0,0,10,33,18,31.11111111111111,8.299999999999999
278,Michael Olise,FW,19,10,6,16,5.5,5.8,21,0,0,68,78,134,225.01111111111112,20.4
279,Cheick Doucouré,MF,11,0,0,0,0.3,0.7,23,2,0,9,49,5,30.92222222222222,10.65
280,Jaïro Riedewald,MF,9,0,0,0,0.0,0.0,26,0,0,3,10,3,8.1,10.0
281,Matheus França,MF,10,0,1,1,0.4,0.9,19,1,0,12,8,12,19.81111111111111,10.85
282,Naouirou Ahamada,MF,20,0,0,0,0.5,0.0,21,4,1,19,25,20,26.22222222222222,10.5
283,David Ozoh,MF,9,0,0,0,0.0,0.0,18,1,0,2,4,3,3.6,10.0
284,Jesurun Rak Sakyi,MF,6,0,0,0,0.4,0.2,20,0,0,7,2,18,14.566666666666666,10.5
285,James Tomkins,DF,4,0,0,0,0.0,0.0,34,0,0,0,1,0,0.14444444444444443,8.0
286,Remi Matthews,GK,1,0,0,0,0.0,0.0,29,0,0,0,0,0,0.011111111111111112,6.0
287,Bernd Leno,GK,38,0,0,0,0.0,0.0,31,3,0,0,0,0,-2.677777777777778,6.0
288,Antonee Robinson,DF,37,0,6,6,0.7,4.2,25,6,0,99,129,194,229.01111111111112,10.799999999999999
289,Andreas Pereira,MF,37,3,7,10,4.6,7.1,27,6,0,56,138,125,206.2111111111111,18.15
290,João Palhinha,MF,33,4,1,5,3.3,0.8,28,13,0,8,97,14,77.26666666666667,13.700000000000001
291,Timothy Castagne,DF,34,1,3,4,1.6,1.9,27,3,0,48,77,113,135.47777777777776,10.549999999999999
292,Calvin Bassey,DF,29,1,0,1,0.3,0.0,23,6,1,15,62,4,37.422222222222224,8.3
293,Alex Iwobi,FW,30,5,2,7,5.3,4.7,27,2,0,109,147,175,260.1333333333333,19.650000000000002
294,Willian,FW,31,4,2,6,5.1,3.9,34,1,0,92,153,181,252.04444444444445,19.05
295,Tosin Adarabioyo,DF,20,2,0,2,0.7,0.1,25,2,0,10,62,5,48.22222222222222,8.75
296,Rodrigo Muniz,FW,26,9,1,10,8.7,2.0,22,1,0,8,19,76,118.1888888888889,21.7
297,Raúl Jiménez,FW,24,7,0,7,5.2,1.5,32,3,1,11,24,87,101.96666666666667,17.95
298,Tim Ream,DF,18,1,0,1,1.0,0.0,35,4,1,11,65,3,39.2,9.0
299,Bobby Reid,FW,33,6,2,8,4.6,1.8,30,4,0,35,47,95,131.86666666666667,17.5
300,Harry Wilson,FW,35,4,6,10,3.4,3.5,26,6,0,41,60,130,158.18888888888887,17.15
301,Issa Diop,DF,18,0,0,0,0.3,0.0,26,4,1,11,66,1,32.8,8.3
302,Harrison Reed,MF,27,0,2,2,0.3,1.1,28,6,0,10,56,40,55.0,10.850000000000001
303,Tom Cairney,MF,34,1,4,5,1.1,2.3,32,3,0,35,145,72,144.67777777777778,12.25
304,Saša Lukić,MF,24,1,0,1,1.6,0.8,26,3,0,12,43,27,47.266666666666666,12.0
305,Kenny Tete,DF,14,1,0,1,0.9,0.4,27,2,0,20,54,38,61.355555555555554,9.1
306,Carlos Vinícius,FW,13,2,0,2,1.6,0.8,28,2,0,3,3,13,21.644444444444446,14.0
307,Adama Traoré,FW,17,2,3,5,1.5,0.7,27,2,0,29,16,48,67.38888888888889,13.85
308,Armando Broja,FW,8,0,1,1,0.0,0.4,21,0,0,2,2,7,8.988888888888889,12.2
309,Luke Harris,MF,1,0,0,0,0.3,0.0,18,0,0,0,1,0,1.1111111111111112,10.3
310,Fodé Ballo-Touré,DF,6,0,0,0,0.0,0.0,26,1,0,5,0,4,3.5666666666666664,8.0
311,Aleksandar Mitrović,FW,1,0,0,0,0.2,0.0,28,0,0,0,1,0,0.9111111111111112,12.2
312,Jordan Pickford,GK,38,0,0,0,0.0,0.1,29,5,0,1,6,0,-0.9777777777777779,6.05
313,James Tarkowski,DF,38,1,1,2,2.6,2.5,30,11,0,15,130,20,87.62222222222222,11.85
314,Jarrad Branthwaite,DF,35,3,0,3,1.7,1.0,21,8,0,2,74,6,52.78888888888889,10.2
315,James Garner,MF,37,1,2,3,2.7,4.6,22,7,0,36,100,76,120.41111111111111,15.0
316,Dwight McNeil,MF,35,3,6,9,3.4,8.8,23,2,0,80,114,147,217.48888888888888,17.8
317,Abdoulaye Doucouré,FW,32,7,1,8,8.8,2.9,30,7,0,55,97,140,197.85555555555555,22.25
318,Vitaliy Mykolenko,DF,28,2,0,2,1.5,0.9,24,1,0,14,55,68,81.71111111111111,9.95
319,Ashley Young,DF,31,0,0,0,0.6,1.5,38,7,1,40,82,61,83.74444444444444,9.35
320,Dominic Calvert-Lewin,FW,32,7,2,9,12.9,3.1,26,2,0,36,31,122,162.75555555555553,26.45
321,Jack Harrison,MF,29,3,3,6,3.6,3.4,26,1,0,65,62,135,164.92222222222222,15.299999999999999
322,Idrissa Gana Gueye,MF,25,4,0,4,1.3,1.1,33,8,0,29,83,41,92.17777777777778,11.850000000000001
323,Amadou Onana,MF,30,2,0,2,2.0,2.7,21,5,0,21,107,39,95.53333333333333,13.35
324,Ben Godfrey,DF,15,0,0,0,1.7,0.3,25,2,0,11,43,26,41.86666666666667,9.85
325,Nathan Patterson,DF,20,0,2,2,0.3,1.7,21,4,0,17,38,39,51.52222222222222,9.15
326,Beto,FW,30,3,0,3,6.8,0.9,25,2,0,14,14,58,70.83333333333333,19.25
327,Séamus Coleman,DF,12,0,0,0,0.0,1.0,34,0,0,5,22,16,22.233333333333334,8.5
328,Arnaut Danjuma,MF,14,1,0,1,2.6,1.1,26,0,0,24,9,44,49.955555555555556,13.15
329,Michael Keane,DF,9,1,0,1,0.7,0.0,30,2,0,4,14,3,15.0,8.7
330,André Gomes,MF,12,1,0,1,0.3,0.4,30,4,0,8,36,29,38.63333333333333,10.5
331,Alex Iwobi,MF,2,0,0,0,0.3,0.2,27,0,0,6,4,8,9.822222222222223,10.4
332,Lewis Dobbin,MF,12,1,0,1,0.3,0.5,20,1,0,6,3,20,19.733333333333334,10.55
333,Youssef Chermiti,FW,18,0,0,0,0.7,0.8,19,3,0,5,5,15,11.9,13.1
334,Neal Maupay,FW,2,0,0,0,1.4,0.1,26,0,0,1,0,6,6.4222222222222225,13.450000000000001
335,Thomas Cannon,FW,1,0,0,0,0.0,0.0,20,0,0,0,0,0,0.011111111111111112,12.0
336,Tyler Onyango,MF,1,0,0,0,0.0,0.0,20,0,0,0,0,0,0.011111111111111112,10.0
337,Lewis Warrington,FW,1,0,0,0,0.0,0.0,20,0,0,0,0,0,0.011111111111111112,12.0
338,Pascal Groß,MF,36,4,10,14,6.5,8.1,32,6,0,83,302,180,347.8,20.55
339,Lewis Dunk,DF,33,3,1,4,3.1,0.9,31,7,1,33,152,13,114.36666666666666,11.549999999999999
340,Jan Paul van Hecke,DF,28,0,0,0,1.2,0.9,23,4,0,25,147,7,89.11111111111111,9.649999999999999
341,Simon Adingra,FW,31,6,1,7,4.3,3.7,21,3,0,111,50,278,262.14444444444445,18.150000000000002
342,Billy Gilmour,MF,30,0,1,1,1.0,2.0,22,8,1,39,193,33,128.83333333333331,12.0
343,Bart Verbruggen,GK,21,0,0,0,0.0,0.0,20,3,0,0,3,0,-1.2666666666666666,6.0
344,Danny Welbeck,FW,29,5,1,6,5.3,1.7,32,4,0,32,44,100,124.42222222222222,18.150000000000002
345,João Pedro,FW,31,9,3,12,11.9,3.8,21,2,0,83,92,205,269.94444444444446,25.799999999999997
346,Igor,DF,24,0,0,0,0.3,0.7,25,4,0,30,107,12,72.06666666666666,8.65
347,Joël Veltman,DF,27,1,1,2,0.4,0.5,31,4,0,24,85,54,87.0,8.65
348,Jason Steele,GK,17,0,0,0,0.0,0.0,32,0,0,0,0,0,-0.011111111111111127,6.0
349,Facundo Buonanotte,FW,27,3,1,4,2.4,1.8,18,7,0,23,42,69,84.9,15.3
350,Kaoru Mitoma,FW,19,3,4,7,3.5,2.7,26,4,0,121,64,239,244.9111111111111,16.85
351,Evan Ferguson,FW,27,6,0,6,4.6,0.5,18,1,0,13,15,62,84.0,16.85
352,Carlos Baleba,MF,27,0,0,0,0.8,0.3,19,7,0,19,50,9,34.2,10.950000000000001
353,Pervis Estupiñán,DF,19,2,3,5,1.0,3.5,25,4,0,47,83,88,129.7111111111111,10.75
354,Adam Webster,DF,15,0,0,0,0.4,0.1,28,2,0,16,80,2,48.06666666666666,8.450000000000001
355,Adam Lallana,MF,25,0,1,1,0.8,1.7,35,2,0,9,39,55,55.577777777777776,11.65
356,James Milner,DF,15,0,2,2,0.3,1.8,37,3,0,11,69,73,81.36666666666667,9.200000000000001
357,Tariq Lamptey,DF,19,0,3,3,0.4,1.2,22,3,0,39,17,64,68.21111111111111,9.0
358,Jack Hinshelwood,DF,12,3,0,3,1.9,0.7,18,1,0,16,19,38,55.13333333333333,10.25
359,Solly March,FW,7,3,1,4,2.0,1.0,29,1,0,14,24,44,63.07777777777778,14.5
360,Jakub Moder,MF,17,0,0,0,0.6,0.8,24,2,0,10,23,26,29.68888888888889,11.0
361,Mahmoud Dahoud,MF,9,0,1,1,0.2,0.9,27,1,1,4,11,6,10.899999999999999,10.649999999999999
362,Julio Enciso,MF,12,0,2,2,1.4,1.7,19,2,0,28,21,29,47.63333333333333,12.25
363,Ansu Fati,MF,19,2,0,2,3.4,0.8,20,2,0,16,28,50,62.81111111111112,13.8
364,Valentín Barco,DF,6,0,0,0,0.2,0.2,19,1,0,8,14,20,20.666666666666668,8.299999999999999
365,Odeluga Offiah,DF,4,0,0,0,0.0,0.0,20,0,0,9,4,9,11.044444444444444,8.0
366,Mark O'Mahony,FW,3,0,0,0,0.1,0.0,18,1,0,0,0,0,-0.7666666666666666,12.1
367,Benicio Boaitey,FW,5,0,0,0,0.0,0.1,19,1,0,1,2,2,1.6555555555555554,12.05
368,Illia Zabarnyi,DF,37,1,0,1,1.1,0.4,20,5,0,24,109,1,70.0111111111111,9.299999999999999
369,Dominic Solanke,FW,38,19,3,22,19.6,3.0,25,3,0,52,60,184,291.6222222222222,33.1
370,Ryan Christie,MF,37,0,5,5,2.3,5.4,28,6,0,60,167,78,171.9111111111111,15.0
371,Neto,GK,32,0,0,0,0.0,0.0,34,5,0,0,0,0,-5.044444444444444,6.0
372,Lewis Cook,MF,33,0,3,3,0.4,4.3,26,5,1,22,142,15,95.96666666666667,12.55
373,Marcos Senesi,DF,31,4,5,9,2.0,1.7,26,13,0,31,127,4,109.04444444444445,10.85
374,Justin Kluivert,MF,32,7,1,8,6.2,1.9,24,5,0,65,50,114,162.15555555555557,17.15
375,Adam Smith,DF,28,0,2,2,0.1,1.3,32,6,0,24,89,28,72.11111111111111,8.75
376,Marcus Tavernier,FW,30,3,4,7,3.9,5.2,24,3,0,79,84,171,204.33333333333334,18.5
377,Antoine Semenyo,FW,33,8,2,10,4.6,3.2,23,6,0,89,64,188,223.26666666666668,18.200000000000003
378,Milos Kerkez,DF,28,0,1,1,1.2,0.8,19,4,1,46,44,93,91.01111111111112,9.6
379,Lloyd Kelly,DF,23,0,1,1,0.3,1.2,24,2,0,15,56,28,52.55555555555556,8.9
380,Philip Billing,MF,29,2,2,4,2.5,3.2,27,3,1,22,53,63,87.52222222222223,14.1
381,Max Aarons,DF,20,0,1,1,0.0,0.8,23,1,0,22,43,26,48.522222222222226,8.4
382,Dango Ouattara,FW,30,1,2,3,2.6,1.5,21,3,0,47,35,90,101.03333333333333,15.35
383,Alex Scott,MF,23,1,1,2,0.7,1.7,19,3,0,24,50,35,62.855555555555554,11.549999999999999
384,Luis Sinisterra,FW,20,2,2,4,2.5,2.4,24,0,0,51,38,85,110.62222222222222,15.7
385,Chris Mepham,DF,10,0,1,1,0.1,0.4,25,2,0,4,25,1,16.711111111111112,8.299999999999999
